INSTRUMENTO|CLASS_NAME|FUND_NAME|GROUP_NAME|GROUP_CODE|SERIE_GROUP|SERIE_RANGE|LOCAL_SHAREHOLDER_GROUP|FOREIGN_CUSTOMERS|PHYSICAL_PERSONS|MORAL_PERSONS|MORAL_EXEMPT_SHAREHOLDERS|MORAL_TAXABLE_SHAREHOLDERS|PHYSICAL_EXEMPT_SHAREHOLDERS|PHYSICAL_TAXABLE_SHAREHOLDERS|ISR|BUY|SELL|MIN_FIRST_BUY|MIN_SUBSEQUENT_BUY|MIN_INVESTMENT|MAX_INVESTMENT|INSTRUMENT_OID|FUND_SHARE_OID|FUND_SERIE_OID|FUND_OID|QUALIFIER|SOURCE_CODE|NAME|MARKET_TYPE|IS_DEFAULT|INSTRUMENT_SHORT_NAME|INSTRUMENT_OID_1|DATE_|BID|AVERAGE|OFFER|ACTUALIZED|QUALIFIER_1
ACTPT10-C|C|ACTPT10|Gestión de Inversión|C|C|0|1|1|1|1|1|1|1|1|0|1|1||0|||514355|500335|500223|500069||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTPT10-C|514355|2020-04-30 00.00.00.000000000|5.938573|5.938573|5.938573|1|
ACTPT10-FF|FF|ACTPT10|Fondo de Fondos|FF|FF|0|1|0|0|1|0|1|0|0|0|1|1||0|||514356|500336|500224|500069||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTPT10-FF|514356|2020-04-30 00.00.00.000000000|6.264173|6.264173|6.264173|1|
ACTPT10-E|E|ACTPT10|Exentas|E|E|0|1|1|1|1|1|0|1|0|1|1|1||0|||514357|500337|500225|500069||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTPT10-E|514357|2020-04-30 00.00.00.000000000|5.184861|5.184861|5.184861|1|
ACTPT10-B-2|B-2|ACTPT10|PF, Fideicomisos, Distribuidores|B|B|1|1|1|1|0|0|0|1|1|0|1|1|0.01|0|100000|999999.99|514358|500340|500226|500069||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTPT10-B-2|514358|2020-04-30 00.00.00.000000000|3.69724|3.69724|3.69724|1|
ACTPT10-B-1|B-1|ACTPT10|PF, Fideicomisos, Distribuidores|B|B|1|1|1|1|0|0|0|1|1|0|1|1|0.01|0|0|99999.99|514359|500338|500226|500069||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTPT10-B-1|514359|2020-04-30 00.00.00.000000000|4.699757|4.699757|4.699757|1|
ACTPT10-B-3|B-3|ACTPT10|PF, Fideicomisos, Distribuidores|B|B|1|1|1|1|0|0|0|1|1|0|1|1|0.01|0|1000000||514360|500339|500226|500069||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTPT10-B-3|514360|2020-04-30 00.00.00.000000000|5.348987|5.348987|5.348987|1|
ACTPT10-M-2|M-2|ACTPT10|PM, Fideicomisos, Distribuidoras|M|M|1|1|1|0|1|1|1|0|0|0|1|1|10000|0|1000000|2999999.99|514361|500342|500227|500069||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTPT10-M-2|514361|2020-04-30 00.00.00.000000000|3.163815|3.163815|3.163815|1|
ACTPT10-M-1|M-1|ACTPT10|PM, Fideicomisos, Distribuidoras|M|M|1|1|1|0|1|1|1|0|0|0|1|1|10000|0|0|999999.99|514362|500343|500227|500069||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTPT10-M-1|514362|2020-04-30 00.00.00.000000000|7.832513|7.832513|7.832513|1|
ACTPT10-M-3|M-3|ACTPT10|PM, Fideicomisos, Distribuidoras|M|M|1|1|1|0|1|1|1|0|0|0|1|1|10000|0|3000000||514363|500341|500227|500069||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTPT10-M-3|514363|2020-04-30 00.00.00.000000000|8.481923|8.481923|8.481923|1|
ACTPT10-A|A|ACTPT10|SERIE DE CAPITAL INICIAL|A|A|0|1|0|0|1|0|1|0|0|1|0|0||0|||514364|500344|500228|500069||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTPT10-A|514364|2020-04-30 00.00.00.000000000|10.353077|10.353077|10.353077|1|
