"INSTRUMENTO","CLASS_NAME","FUND_NAME","GROUP_NAME","GROUP_CODE","SERIE_GROUP","SERIE_RANGE","LOCAL_SHAREHOLDER_GROUP","FOREIGN_CUSTOMERS","PHYSICAL_PERSONS","MORAL_PERSONS","MORAL_EXEMPT_SHAREHOLDERS","MORAL_TAXABLE_SHAREHOLDERS","PHYSICAL_EXEMPT_SHAREHOLDERS","PHYSICAL_TAXABLE_SHAREHOLDERS","ISR","BUY","SELL","MIN_FIRST_BUY","MIN_SUBSEQUENT_BUY","MIN_INVESTMENT","MAX_INVESTMENT","INSTRUMENT_OID","FUND_SHARE_OID","FUND_SERIE_OID","FUND_OID","QUALIFIER"
"ACTIREN-E","E","ACTIREN","Exentas","E","E",0,1,1,1,1,1,0,1,0,1,1,1,,0,,,514316,500296,500184,500063,""
"ACTIREN-FF","FF","ACTIREN","Fondo de Fondos","FF","FF",0,1,0,0,1,0,1,0,0,0,1,1,,0,,,514317,500297,500185,500063,""
"ACTIREN-A","A","ACTIREN","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514318,500298,500186,500063,""
"ACTIREN-M","M","ACTIREN","PM, Fideicomisos, Distribuidoras","M","M",0,1,1,0,1,1,1,0,0,0,1,1,,0,,,514319,500299,500187,500063,""
"ACTIREN-CE","CE","ACTIREN","PM No Contribuyentes","CE","CE",0,1,1,0,1,1,0,0,0,1,1,1,,0,,,514320,500300,500188,500063,""
"ACTIREN-B","B","ACTIREN","PF, Fideicomisos, Distribuidores","B","B",0,1,1,1,0,0,0,1,1,0,1,1,,0,,,514321,500301,500189,500063,""
"ACTIREN-C","C","ACTIREN","Gestión de Inversión","C","C",0,1,1,1,1,1,1,1,1,0,1,1,,0,,,514322,500302,500190,500063,""
"ACTIMED-B","B","ACTIMED","Persona Fisicas","B","B",0,1,1,1,0,0,0,1,1,0,1,1,,0,,,514323,500303,500191,500064,""
"ACTIMED-C","C","ACTIMED","Gestión de Inversión","C","C",0,1,1,1,1,1,1,1,1,0,1,1,,0,,,514324,500304,500192,500064,""
"ACTIMED-E","E","ACTIMED","Exentas","E","E",0,1,1,1,1,1,0,1,0,1,1,1,,0,,,514325,500305,500193,500064,""
"ACTIMED-A","A","ACTIMED","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514326,500306,500194,500064,""
"ACTIMED-FF","FF","ACTIMED","Fondo de Fondos","FF","FF",0,1,0,0,1,0,1,0,0,0,1,1,,0,,,514327,500307,500195,500064,""
"ACTIMED-M","M","ACTIMED","Personas Morales","M","M",0,1,1,0,1,1,1,0,0,0,1,1,,0,,,514328,500308,500196,500064,""
"ACTIMED-CE","CE","ACTIMED","Personas Morales No Contribuyentes","CE","CE",0,1,0,0,1,1,0,0,0,1,1,1,,0,,,514329,500309,500197,500064,""
"ALTERNA-B","B","ALTERNA","PF, Fideicomisos, Distribuidores","B","B",0,1,1,1,0,0,0,1,1,0,1,1,,0,,,514330,500310,500198,500065,""
"ALTERNA-CE","CE","ALTERNA","PM No Contribuyentes","CE","CE",0,1,1,0,1,1,0,0,0,1,1,1,,0,,,514331,500311,500199,500065,""
